 Name,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Enes Freedom,72,1758,22.4,.636,.007,.292,16.8,31.9,24.2,7.2,0.9,2.4,11.0,17.4,5.7,1.7,7.5,.204,2.1,-1.4,0.6,1.2
Anthony Edwards,72,2314,13.9,.523,.429,.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,-0.6,1.4,0.8,.017,-0.4,-1.7,-2.1,-0.1
Dwayne Bacon,72,1853,9.9,.490,.285,.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,.013,-3.7,-1.4,-5.1,-1.5
Bojan Bogdanović,72,2216,14.0,.588,.498,.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,2.7,2.5,5.2,.113,0.2,-0.7,-0.4,0.9
Georges Niang,72,1154,11.4,.602,.721,.057,2.7,13.0,8.1,7.3,1.1,0.6,10.9,17.4,1.2,1.4,2.6,.108,-0.4,0.1,-0.3,0.5
Mikal Bridges,72,2348,16.4,.667,.471,.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,.164,2.4,0.9,3.3,3.1
Nikola Jokić,72,2488,31.3,.647,.183,.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,.301,9.1,3.0,12.1,8.8
Ivica Zubac,72,1609,19.1,.693,.010,.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,4.8,2.1,6.9,.206,0.6,0.4,1.0,1.2
RJ Barrett,72,2511,13.4,.535,.292,.260,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,.078,-0.9,-0.3,-1.2,0.5
Duncan Robinson,72,2262,11.0,.628,.855,.105,0.4,12.1,6.3,8.3,0.9,0.9,9.7,16.6,1.9,1.8,3.7,.079,-0.2,-0.8,-1.0,0.6
Justin Holiday,72,2183,10.4,.571,.725,.136,1.6,11.1,6.4,7.0,1.6,1.5,7.5,14.0,1.4,1.8,3.1,.069,-0.9,-0.1,-1.0,0.6
Andrew Wiggins,71,2364,15.0,.568,.348,.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,.080,0.0,-0.4,-0.4,1.0
