 Name,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jarrett Allen,70,1852,20.7,.664,.013,.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,.212,1.4,1.0,2.3,2.0
Donovan Mitchell,69,2364,18.8,.558,.352,.240,2.6,11.3,7.1,21.6,1.4,0.5,11.0,30.8,3.2,2.2,5.4,.110,2.4,-0.6,1.9,2.3
Kentavious Caldwell-Pope,69,1762,11.0,.584,.471,.201,2.4,6.4,4.4,8.5,1.5,0.7,10.1,14.7,1.9,1.9,3.7,.102,-1.2,0.4,-0.8,0.5
Dwight Howard,69,1306,18.7,.696,.018,.773,14.6,27.8,21.2,4.8,1.1,5.4,18.5,14.7,2.8,2.6,5.4,.197,-1.0,1.2,0.2,0.7
OG Anunoby,69,2066,13.2,.600,.403,.180,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,2.1,3.7,5.7,.134,-0.8,2.0,1.2,1.7
Grant Williams,69,1043,7.9,.505,.455,.256,6.1,12.1,9.1,8.5,1.4,3.2,17.6,11.6,0.1,1.4,1.6,.071,-4.1,1.4,-2.7,-0.2
Semi Ojeleye,69,1011,7.7,.562,.648,.163,2.8,12.5,7.7,4.7,1.0,0.5,8.3,9.7,0.8,1.0,1.9,.088,-2.1,0.4,-1.7,0.1
Doug McDermott,69,1372,14.4,.620,.537,.106,2.1,11.7,7.0,8.4,0.4,0.3,6.8,19.6,2.3,1.1,3.3,.117,1.4,-1.3,0.0,0.7
Joe Harris,69,2123,13.3,.606,.518,.114,3.2,11.2,7.3,10.4,0.9,0.7,11.2,18.3,2.5,1.8,4.3,.097,0.4,-0.6,-0.2,1.0
Terrence Ross,69,1889,14.0,.548,.596,.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,1.1,2.0,3.0,.077,-0.1,-0.3,-0.4,0.8
Troy Brown Jr.,69,1782,13.7,.524,.288,.223,4.5,19.6,11.7,14.1,2.2,0.3,10.4,17.8,1.3,1.2,2.4,.065,-0.8,-0.4,-1.2,0.3
Rudy Gobert,68,2333,21.7,.699,.000,.724,11.2,31.3,21.6,6.5,1.1,4.8,15.0,16.2,6.5,4.2,10.7,.221,1.7,1.9,3.6,3.3
DeMar DeRozan,68,2316,21.6,.603,.033,.430,2.0,15.4,8.7,26.1,1.4,0.8,11.6,26.3,5.9,1.3,7.3,.151,2.3,-0.4,1.9,2.3
Derrick White,68,1677,16.4,.593,.391,.382,2.3,12.1,7.2,20.0,1.3,3.1,12.1,18.9,3.1,1.1,4.2,.119,1.2,0.1,1.3,1.4
Danny Green,68,1687,10.8,.552,.690,.101,3.3,11.2,7.3,7.1,2.4,1.7,11.3,13.9,0.8,2.5,3.4,.096,-1.1,1.5,0.5,1.1
JaVale McGee,68,1130,19.4,.652,.020,.268,12.2,25.4,18.9,4.6,1.5,7.5,13.9,14.8,2.2,2.4,4.7,.198,-0.6,2.1,1.5,1.0
James Harden,68,2483,29.1,.626,.557,.528,2.9,16.0,9.4,35.9,2.3,2.1,14.2,36.3,9.9,3.2,13.1,.254,8.1,1.6,9.6,7.3
Austin Rivers,68,1594,10.4,.542,.539,.222,1.8,9.8,5.8,10.0,1.4,0.5,8.3,15.6,1.2,1.2,2.4,.072,-2.1,-0.4,-2.5,-0.2
Mike Scott,68,1207,11.2,.557,.620,.106,5.9,16.8,11.3,6.4,0.8,0.4,6.6,14.0,1.4,1.1,2.5,.100,-0.7,-1.1,-1.8,0.1
Ish Smith,68,1787,13.9,.509,.245,.125,1.8,12.0,6.7,27.1,1.5,1.5,11.6,19.1,1.3,0.6,1.9,.051,-0.3,-1.0,-1.3,0.3
Brook Lopez,68,1817,15.0,.551,.484,.227,3.4,13.0,8.5,7.4,1.2,7.9,8.7,18.3,1.4,4.1,5.5,.145,-0.4,2.5,2.0,1.9
Hassan Whiteside,67,2008,25.0,.644,.010,.340,13.6,33.3,23.6,5.9,0.6,8.4,12.9,19.6,5.6,3.0,8.5,.204,2.5,0.7,3.2,2.6
Ja Morant,67,2074,17.4,.556,.191,.329,2.6,10.4,6.6,35.2,1.3,0.8,17.0,25.9,2.3,1.5,3.8,.088,1.4,-1.2,0.3,1.2
Kyle Anderson,67,1330,12.5,.534,.257,.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,.091,-1.5,2.0,0.5,0.9
Rudy Gay,67,1461,15.4,.553,.369,.228,4.5,22.2,13.4,11.3,1.1,2.0,11.8,22.0,0.9,1.1,2.1,.068,0.0,-0.9,-0.8,0.4
LeBron James,67,2316,25.5,.577,.326,.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,.204,6.6,1.8,8.4,6.1
T.J. Warren,67,2202,18.4,.610,.227,.205,3.4,10.5,7.0,7.1,1.7,1.4,7.2,23.3,4.0,2.6,6.5,.143,1.2,0.0,1.1,1.7
Kendrick Nunn,67,1962,12.9,.534,.428,.109,1.2,8.7,5.1,18.5,1.4,0.8,10.6,24.1,0.4,1.6,2.0,.049,-1.0,-1.3,-2.3,-0.1
Kelly Olynyk,67,1300,14.6,.621,.588,.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,1.9,1.8,3.7,.135,0.0,1.0,1.0,1.0
Al Horford,67,2025,15.7,.536,.399,.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,2.8,2.6,5.4,.128,1.3,1.0,2.2,2.2
Wesley Matthews,67,1635,8.1,.547,.704,.161,1.4,8.2,5.0,7.1,1.1,0.5,8.7,12.5,0.8,2.4,3.2,.093,-2.6,0.7,-1.8,0.1
Pat Connaughton,67,1243,11.5,.565,.551,.133,5.1,16.8,11.3,10.9,0.9,2.2,14.0,12.3,1.1,2.3,3.4,.130,-0.9,1.5,0.6,0.8
Georges Niang,66,923,11.7,.589,.699,.075,1.9,12.9,7.6,7.0,0.9,0.4,8.3,17.2,1.0,0.8,1.8,.092,0.4,-0.5,-0.1,0.4
Damian Lillard,66,2474,26.9,.627,.500,.384,1.4,10.5,6.0,34.4,1.3,0.8,11.0,30.3,10.9,0.7,11.6,.225,8.3,-0.9,7.5,5.9
Dario Šarić,66,1632,14.2,.592,.437,.238,6.7,21.1,13.8,10.8,1.1,0.9,12.9,17.8,2.1,1.5,3.6,.105,-0.1,-0.3,-0.4,0.7
Dejounte Murray,66,1687,16.2,.524,.174,.179,4.4,20.1,12.2,23.1,3.1,0.9,15.4,20.8,0.7,2.0,2.6,.074,-0.9,1.3,0.4,1.0
Patty Mills,66,1485,14.8,.592,.674,.187,1.6,6.2,3.9,11.4,1.7,0.4,7.7,20.4,2.3,0.5,2.8,.091,1.2,-1.2,0.0,0.8
Jakob Poeltl,66,1171,19.1,.612,.000,.323,12.1,22.5,17.3,13.6,1.5,7.1,15.1,13.2,2.4,1.6,4.0,.163,0.5,2.0,2.5,1.3
Bobby Portis,66,1393,14.6,.530,.317,.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1.0,1.9,.064,0.0,-1.1,-1.1,0.3
Langston Galloway,66,1702,12.3,.584,.611,.157,2.2,7.8,5.0,8.8,1.4,0.5,6.5,15.9,2.4,0.7,3.1,.087,0.0,-0.9,-0.8,0.5
Jayson Tatum,66,2265,20.4,.567,.383,.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,3.2,3.7,6.9,.146,3.5,0.6,4.0,3.4
Aaron Holiday,66,1617,11.6,.521,.393,.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,.063,-1.6,0.0,-1.6,0.2
Evan Fournier,66,2076,16.4,.595,.467,.237,0.9,8.2,4.4,16.6,1.7,0.7,10.9,23.9,2.9,1.7,4.6,.106,1.4,-0.4,1.0,1.6
Isaac Bonga,66,1250,10.2,.608,.303,.363,6.0,13.8,9.7,7.9,1.7,1.5,17.6,11.0,1.2,0.6,1.8,.068,-2.7,-0.1,-2.8,-0.3
Donte DiVincenzo,66,1520,14.1,.557,.484,.169,4.6,15.5,10.3,13.6,2.6,1.2,14.1,17.3,1.0,3.2,4.3,.135,-1.1,2.4,1.3,1.3
Robin Lopez,66,958,10.2,.554,.351,.177,6.2,10.2,8.3,6.3,0.5,4.1,16.4,16.6,-0.1,1.6,1.5,.077,-3.0,0.4,-2.6,-0.2
Justin Jackson,65,1045,9.5,.496,.478,.147,2.7,12.6,7.7,6.8,0.7,0.8,3.7,15.4,0.6,0.6,1.2,.054,-2.1,-1.3,-3.4,-0.4
Tyus Jones,65,1232,15.7,.532,.289,.135,0.8,7.9,4.4,32.0,2.2,0.4,10.8,17.2,1.9,1.1,3.0,.117,0.4,0.2,0.6,0.8
Ricky Rubio,65,2016,16.5,.535,.312,.327,2.5,14.4,8.4,39.7,2.2,0.5,17.9,20.4,2.9,2.0,4.9,.117,0.7,0.2,1.0,1.5
Josh Hart,65,1755,11.9,.563,.665,.216,3.7,22.1,12.8,8.2,1.7,1.1,11.4,15.3,1.3,1.8,3.1,.085,-1.1,0.4,-0.7,0.6
Tomáš Satoranský,65,1878,13.5,.533,.361,.220,4.3,11.0,7.5,27.1,2.1,0.4,17.7,16.7,1.8,1.7,3.5,.090,-1.1,-0.2,-1.2,0.4
Coby White,65,1674,11.9,.506,.475,.163,1.8,14.0,7.6,16.5,1.4,0.3,11.4,24.4,-0.5,1.4,0.9,.026,-1.3,-1.6,-2.9,-0.4
Kevin Knox,65,1166,8.3,.470,.496,.252,2.5,14.7,8.4,7.4,1.0,2.3,9.2,17.8,-0.5,0.7,0.2,.007,-3.1,-1.1,-4.2,-0.7
Collin Sexton,65,2143,16.3,.560,.235,.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.1,0.4,2.5,.057,0.3,-2.1,-1.8,0.1
Cedi Osman,65,1910,10.7,.552,.527,.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.0,0.6,1.6,.040,-1.7,-0.9,-2.6,-0.3
Lou Williams,65,1864,17.3,.546,.337,.362,1.8,9.2,5.6,30.1,1.1,0.6,14.4,28.4,2.3,1.8,4.1,.105,2.1,-1.4,0.7,1.3
Dennis Schröder,65,1999,16.7,.575,.337,.245,1.1,11.6,6.5,21.9,1.1,0.6,13.4,27.2,1.9,1.8,3.6,.087,1.1,-1.1,-0.1,1.0
Daniel Theis,65,1566,17.9,.631,.225,.268,9.7,19.3,14.6,10.1,1.1,5.0,10.2,14.4,4.0,2.6,6.5,.201,0.6,1.8,2.4,1.7
Matisse Thybulle,65,1287,10.0,.539,.592,.155,3.8,5.4,4.6,8.0,3.5,3.1,15.3,11.2,0.3,2.0,2.3,.086,-2.8,3.1,0.3,0.8
Miles Bridges,65,1995,12.1,.520,.398,.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,0.3,1.3,1.6,.039,-1.5,-1.0,-2.5,-0.3
Seth Curry,64,1576,15.5,.643,.559,.169,1.8,7.8,4.8,11.6,1.2,0.5,9.1,18.4,3.5,0.8,4.3,.130,1.7,-0.9,0.8,1.2
Jaxson Hayes,64,1080,17.6,.689,.015,.734,9.5,16.0,12.7,7.2,1.1,4.3,13.4,15.0,2.8,1.1,3.9,.171,-0.9,0.6,-0.3,0.5
Thaddeus Young,64,1591,13.3,.521,.369,.120,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,-0.2,2.1,1.9,.058,-1.4,0.2,-1.2,0.3
Julius Randle,64,2080,17.5,.538,.230,.350,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,0.9,1.8,2.7,.062,0.7,-1.0,-0.3,0.9
Alex Caruso,64,1175,10.8,.525,.412,.323,1.6,9.8,5.7,13.6,2.8,1.4,13.8,13.8,0.5,1.8,2.3,.095,-2.6,2.4,-0.2,0.5
Spencer Dinwiddie,64,1994,17.8,.541,.392,.437,1.7,9.6,5.7,35.0,0.9,0.9,12.5,29.2,3.2,1.6,4.8,.116,2.7,-0.9,1.8,1.9
Taurean Prince,64,1857,9.1,.497,.583,.120,2.8,18.1,10.6,9.2,1.5,1.1,14.0,20.4,-1.7,2.3,0.6,.014,-2.8,-0.1,-2.9,-0.4
Bojan Bogdanović,63,2083,15.6,.603,.489,.296,2.1,11.2,6.8,10.0,0.8,0.3,13.1,25.5,2.6,1.6,4.2,.096,1.6,-1.5,0.1,1.1
Bryn Forbes,63,1579,11.1,.570,.656,.155,0.8,7.8,4.3,9.5,1.0,0.0,8.4,18.5,1.3,0.3,1.5,.047,-0.6,-2.1,-2.7,-0.3
Trey Lyles,63,1271,12.6,.557,.490,.131,6.0,24.6,15.3,7.2,1.1,1.9,9.7,13.6,1.2,1.0,2.2,.083,-0.5,-0.7,-1.2,0.3
Lonzo Ball,63,2025,13.1,.517,.575,.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,0.4,2.0,2.4,.058,0.1,0.6,0.6,1.3
Jarrett Culver,63,1506,9.6,.467,.388,.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,-1.2,1.1,-0.1,-0.004,-3.3,-0.7,-4.0,-0.8
De'Andre Hunter,63,2018,8.6,.521,.445,.211,2.3,13.1,7.6,8.0,1.0,0.7,12.1,17.5,-0.4,0.5,0.1,.002,-2.9,-1.8,-4.7,-1.4
Montrezl Harrell,63,1749,23.2,.607,.022,.432,9.9,16.3,13.2,10.3,1.1,3.6,10.1,25.7,4.4,2.5,7.0,.191,2.5,0.5,2.9,2.2
JaMychal Green,63,1307,11.1,.576,.676,.136,6.3,24.1,15.4,5.0,1.0,1.6,12.6,13.7,1.1,2.0,3.1,.115,-1.2,0.7,-0.5,0.5
Danuel House Jr.,63,1913,11.3,.572,.659,.167,3.1,11.6,7.3,6.1,1.6,1.5,8.5,13.7,1.9,1.8,3.6,.091,-0.8,0.0,-0.7,0.6
Steven Adams,63,1680,20.5,.604,.006,.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,.185,1.9,1.1,2.9,2.1
Devonte' Graham,63,2211,15.8,.537,.607,.242,2.0,8.7,5.2,35.3,1.4,0.6,14.5,24.8,2.4,0.9,3.4,.073,2.5,-2.1,0.5,1.4
Terry Rozier,63,2164,14.8,.553,.450,.202,2.4,11.8,7.0,20.4,1.4,0.4,12.1,23.7,1.9,1.1,3.0,.066,0.8,-1.2,-0.4,0.8
Giannis Antetokounmpo,63,1917,31.9,.613,.237,.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,.279,7.4,4.1,11.5,6.6
Ersan İlyasova,63,986,14.9,.589,.438,.278,6.6,22.7,15.1,6.6,1.1,1.5,8.8,16.1,1.6,2.0,3.6,.174,-0.3,0.8,0.4,0.6
Brandon Ingram,62,2104,18.8,.587,.350,.336,2.6,16.6,9.6,19.3,1.3,1.5,13.1,28.1,3.3,1.8,5.1,.115,2.5,-0.4,2.1,2.2
Josh Okogie,62,1547,11.5,.553,.387,.480,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,0.9,1.2,2.2,.068,-2.4,0.0,-2.4,-0.2
Taj Gibson,62,1025,16.1,.610,.049,.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,1.8,0.8,2.6,.120,-0.8,-0.3,-1.1,0.2
Christian Wood,62,1325,23.2,.659,.276,.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,3.6,1.5,5.1,.183,3.5,-0.3,3.1,1.7
Anthony Davis,62,2131,27.4,.610,.199,.479,7.4,22.1,14.8,15.1,2.0,6.0,10.4,29.3,6.7,4.4,11.1,.250,5.4,2.6,8.0,5.4
Danilo Gallinari,62,1834,19.5,.612,.537,.365,2.1,16.8,9.7,10.3,1.1,0.2,7.4,24.6,4.5,1.9,6.3,.166,4.1,-0.9,3.3,2.4
Chris Boucher,62,819,20.7,.587,.395,.388,14.1,21.4,17.9,4.8,1.3,7.3,7.4,19.7,2.1,1.8,3.8,.224,1.0,1.0,2.0,0.8
Domantas Sabonis,62,2159,20.7,.586,.079,.349,9.7,29.3,19.6,21.7,1.1,1.2,14.8,23.3,4.1,3.4,7.5,.168,2.0,1.2,3.2,2.9
Myles Turner,62,1826,14.8,.566,.426,.288,5.2,19.1,12.2,5.4,1.2,6.4,11.4,17.9,1.1,3.1,4.2,.111,-1.0,1.1,0.1,1.0
Garrett Temple,62,1730,10.5,.513,.658,.148,1.8,11.1,6.5,12.8,1.3,1.4,9.0,16.6,0.7,1.7,2.4,.066,-1.4,0.3,-1.1,0.4
Aaron Gordon,62,2017,15.1,.516,.309,.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,.087,-0.1,0.1,0.0,1.0
Nikola Vučević,62,1998,21.9,.549,.280,.162,7.3,29.7,18.1,19.5,1.3,2.1,7.4,25.8,3.5,2.9,6.4,.153,3.7,0.5,4.2,3.1
Mo Bamba,62,878,17.5,.542,.374,.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,0.8,1.7,2.5,.135,-1.2,1.6,0.4,0.5
Khris Middleton,62,1853,21.1,.619,.374,.240,2.5,17.0,10.2,22.2,1.3,0.3,11.6,26.4,4.6,3.3,7.9,.205,3.4,0.7,4.1,2.9
Luka Dončić,61,2047,27.6,.585,.431,.448,4.1,25.0,14.7,45.7,1.5,0.6,14.8,36.8,6.5,2.3,8.8,.207,7.4,1.0,8.4,5.4
Gary Trent Jr.,61,1332,12.9,.587,.608,.102,2.0,5.8,3.9,6.3,1.7,1.0,4.4,15.3,2.2,0.3,2.5,.089,0.5,-0.8,-0.3,0.6
Lonnie Walker IV,61,988,10.5,.507,.283,.171,2.5,12.7,7.6,9.6,1.5,1.2,10.3,18.7,-0.2,0.6,0.3,.016,-2.5,-1.0,-3.5,-0.4
Bogdan Bogdanović,61,1766,15.2,.565,.576,.151,1.6,11.8,6.6,18.0,1.8,0.8,11.1,22.6,1.8,1.3,3.1,.084,1.2,-0.5,0.6,1.2
Jrue Holiday,61,2117,17.0,.537,.344,.181,3.8,10.9,7.3,29.1,2.2,1.9,14.5,24.5,2.0,1.9,3.9,.088,1.6,0.2,1.8,2.0
Mitchell Robinson,61,1412,23.5,.726,.000,.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,4.8,2.0,6.8,.230,1.6,1.4,2.9,1.8
Kyle Kuzma,61,1526,12.2,.531,.407,.232,3.8,15.7,9.8,7.6,0.9,1.5,11.0,22.9,0.1,1.9,2.0,.063,-1.6,-1.0,-2.6,-0.2
Mason Plumlee,61,1057,18.8,.613,.017,.538,10.4,23.2,16.8,20.9,1.5,3.3,18.7,18.0,2.0,1.4,3.4,.153,0.3,1.7,2.0,1.1
Darius Bazley,61,1130,9.6,.497,.445,.196,3.0,20.5,12.0,5.1,1.0,3.1,11.6,15.1,-0.5,1.5,1.0,.041,-2.1,0.5,-1.6,0.1
Nerlens Noel,61,1127,20.4,.711,.011,.394,9.2,19.9,14.7,7.6,2.5,6.9,17.3,14.9,2.6,2.3,4.9,.209,-0.3,3.4,3.1,1.5
Eric Bledsoe,61,1646,17.6,.571,.306,.304,2.8,13.5,8.5,28.7,1.6,1.4,15.7,23.7,2.4,3.0,5.4,.157,0.8,1.0,1.8,1.6
De'Anthony Melton,60,1167,13.5,.501,.349,.302,4.0,15.7,9.9,20.1,3.1,1.5,15.6,19.2,0.1,1.7,1.7,.072,-2.2,2.0,-0.2,0.5
J.J. Redick,60,1581,15.4,.644,.629,.293,0.7,9.5,5.1,10.8,0.6,0.5,9.5,20.4,3.6,0.6,4.1,.125,2.3,-1.7,0.7,1.1
Nicolò Melli,60,1042,11.4,.556,.638,.226,3.9,14.5,9.2,10.5,1.5,1.8,11.5,15.7,0.9,0.9,1.8,.082,-1.5,0.2,-1.3,0.2
Eric Paschall,60,1654,14.5,.571,.202,.331,5.2,13.1,9.0,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,.062,-0.7,-2.0,-2.7,-0.3
Zach LaVine,60,2085,19.4,.568,.404,.279,2.1,13.8,7.7,21.7,2.0,1.3,13.3,31.7,1.8,2.2,4.0,.091,3.3,-0.8,2.5,2.4
Thon Maker,60,776,13.7,.582,.332,.570,7.8,16.7,12.2,8.0,1.6,4.2,15.7,16.1,0.7,0.8,1.5,.096,-2.1,0.7,-1.4,0.1
Trae Young,60,2120,23.9,.595,.455,.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,5.3,0.6,5.9,.133,6.2,-2.3,3.9,3.1
Vince Carter,60,876,7.5,.470,.664,.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,-0.6,0.4,-0.2,-0.011,-3.1,-1.2,-4.3,-0.5
Pascal Siakam,60,2110,17.9,.554,.331,.274,3.3,18.3,11.0,16.4,1.4,2.5,10.7,28.1,1.8,3.6,5.4,.123,1.3,0.5,1.8,2.0
Rondae Hollis-Jefferson,60,1122,15.1,.533,.070,.435,10.6,15.9,13.3,13.6,2.0,2.0,13.1,17.2,1.4,2.0,3.4,.146,-1.2,1.5,0.3,0.6
Marcus Smart,60,1919,13.8,.518,.579,.223,2.4,10.1,6.3,21.1,2.5,1.4,12.1,18.9,1.7,2.8,4.5,.112,0.0,1.4,1.4,1.6
Frank Jackson,59,797,9.1,.510,.435,.227,2.9,8.1,5.5,10.8,1.0,0.4,11.9,21.2,-0.2,0.3,0.2,.010,-3.3,-2.2,-5.5,-0.7
Marquese Chriss,59,1196,19.5,.604,.101,.405,10.0,23.6,16.5,15.3,1.6,4.7,14.7,19.0,2.1,1.3,3.4,.136,0.0,0.6,0.6,0.8
Tony Snell,59,1641,9.7,.598,.665,.084,0.6,7.1,3.8,10.9,1.0,0.8,7.3,11.4,2.1,0.5,2.6,.076,-1.2,-0.6,-1.8,0.1
Darius Garland,59,1824,8.5,.498,.423,.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-1.3,0.0,-1.3,-0.034,-2.7,-2.8,-5.5,-1.7
Patrick Patterson,59,776,11.5,.580,.738,.185,4.8,15.1,10.1,7.2,0.4,0.3,7.7,14.7,1.1,0.8,1.9,.118,0.8,-0.5,0.3,0.5
Jamal Murray,59,1904,17.7,.559,.362,.207,2.7,11.2,6.9,22.9,1.7,0.8,11.5,25.2,2.8,1.5,4.3,.107,2.0,-0.8,1.2,1.5
Goran Dragić,59,1663,16.3,.573,.467,.340,2.0,10.2,6.3,29.2,1.2,0.6,14.8,25.9,2.2,1.3,3.5,.102,1.4,-1.6,-0.1,0.8
Derrick Jones Jr.,59,1375,14.9,.620,.378,.352,5.6,13.1,9.5,6.7,2.1,2.7,6.9,13.9,2.6,1.8,4.4,.153,-0.3,1.1,0.7,1.0
George Hill,59,1271,16.9,.659,.468,.269,4.1,9.3,6.9,19.0,1.7,0.3,11.9,15.5,3.5,2.1,5.5,.210,1.6,1.3,2.9,1.6
Tony Bradley,58,663,21.7,.681,.016,.243,19.1,25.0,22.2,5.4,1.0,4.1,12.5,15.8,2.2,1.1,3.3,.236,1.0,0.3,1.3,0.6
Carmelo Anthony,58,1902,12.4,.525,.289,.206,3.9,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,.033,-1.8,-1.8,-3.6,-0.8
Brandon Clarke,58,1300,20.9,.663,.134,.234,7.6,20.1,14.0,9.5,1.1,3.2,9.4,18.7,3.4,1.6,5.0,.183,2.4,0.7,3.1,1.7
Jevon Carter,58,945,11.3,.563,.601,.111,3.5,10.5,6.9,11.9,2.4,1.6,11.2,12.9,0.8,1.0,1.8,.093,-0.7,1.3,0.6,0.6
Ryan Arcidiacono,58,930,9.0,.551,.627,.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.7,0.7,1.4,.071,-2.7,-0.1,-2.8,-0.2
Bruce Brown,58,1634,11.9,.518,.215,.266,4.2,15.0,9.5,20.4,1.9,1.5,16.7,16.0,0.7,1.4,2.1,.062,-2.0,0.8,-1.2,0.3
Cam Reddish,58,1551,9.0,.500,.451,.227,2.4,12.7,7.5,8.0,1.9,1.5,13.6,18.9,-1.2,0.8,-0.4,-0.011,-3.3,-1.0,-4.2,-0.9
Will Barton,58,1916,15.6,.549,.390,.180,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,2.4,1.8,4.2,.106,1.2,-0.2,1.1,1.5
Torrey Craig,58,1072,10.8,.553,.513,.134,6.6,13.2,9.9,5.9,1.1,3.1,8.1,12.6,1.1,0.9,2.0,.091,-2.0,-0.3,-2.3,-0.1
Kyle Lowry,58,2098,17.7,.590,.580,.427,1.6,12.8,7.3,30.6,1.9,1.2,15.7,23.1,4.2,3.3,7.5,.171,2.2,1.0,3.2,2.8
Enes Freedom,58,983,22.4,.599,.020,.284,18.0,28.9,23.5,8.8,1.1,3.9,12.5,19.4,2.6,1.8,4.4,.214,1.8,-0.3,1.5,0.9
Jimmy Butler,58,1959,23.6,.585,.157,.693,6.3,15.4,11.0,28.1,2.6,1.6,11.4,25.1,6.3,2.7,9.0,.221,4.0,1.5,5.4,3.7
P.J. Washington,58,1759,12.4,.547,.390,.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,0.5,1.5,2.0,.054,-1.7,0.1,-1.6,0.2
Cody Zeller,58,1341,18.8,.576,.157,.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,2.3,1.3,3.6,.129,0.2,-0.8,-0.6,0.5
Kyle Korver,58,960,11.3,.620,.809,.140,1.6,10.4,6.3,9.2,1.2,1.1,13.4,15.4,0.9,1.5,2.5,.124,-0.6,0.7,0.1,0.5
Kristaps Porziņģis,57,1814,20.2,.551,.432,.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,2.6,2.6,5.2,.138,1.8,0.1,1.9,1.8
Jalen Brunson,57,1022,14.9,.553,.309,.193,2.3,11.3,6.9,27.0,1.0,0.3,13.6,20.4,1.6,0.6,2.1,.101,0.1,-1.0,-0.9,0.3
Jaren Jackson Jr.,57,1622,16.3,.593,.489,.247,3.6,13.2,8.5,7.2,1.2,5.0,10.6,24.0,1.6,1.8,3.5,.103,0.3,0.1,0.4,1.0
Cameron Johnson,57,1255,12.9,.586,.672,.141,4.3,12.4,8.3,7.7,1.4,1.4,6.9,15.7,1.7,1.0,2.7,.102,0.8,-0.4,0.3,0.7
Marco Belinelli,57,883,10.8,.532,.567,.185,0.9,11.2,6.0,10.7,0.6,0.1,5.3,17.5,0.7,0.2,0.8,.046,-0.7,-2.0,-2.7,-0.2
Jordan Poole,57,1274,7.2,.454,.528,.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5
Frank Ntilikina,57,1187,9.8,.497,.411,.177,2.0,9.1,5.4,20.2,2.2,1.3,16.5,15.4,0.1,0.8,0.9,.037,-3.6,0.4,-3.2,-0.4
Tristan Thompson,57,1721,16.8,.540,.041,.286,14.5,22.9,18.6,10.5,0.9,2.5,14.0,18.3,2.0,1.1,3.1,.085,-0.2,-1.3,-1.5,0.2
Matthew Dellavedova,57,821,8.1,.463,.520,.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,0.1,0.1,0.2,.011,-3.6,-1.6,-5.2,-0.7
Kawhi Leonard,57,1848,26.9,.589,.287,.355,3.1,19.1,11.3,26.4,2.6,1.6,10.2,33.0,5.4,3.3,8.7,.226,6.5,2.4,8.9,5.1
Russell Westbrook,57,2049,21.0,.536,.166,.297,5.1,18.1,11.5,35.6,2.1,0.8,15.0,34.4,1.7,2.5,4.2,.098,1.6,-0.1,1.5,1.8
